,No.,Player,Pos,DoB,Val,Team
256,29,Mark Gillespie,Goalkeeper,"Mar 27, 1992 (29)",€400Th.,Newcastle
257,6,Jamaal Lascelles,Centre-Back,"Nov 11, 1993 (27)",€13.00m,Newcastle
258,5,Fabian Schär,Centre-Back,"Dec 20, 1991 (29)",€9.00m,Newcastle
259,2,Ciaran Clark,Centre-Back,"Sep 26, 1989 (32)",€3.00m,Newcastle
260,18,Federico Fernández,Centre-Back,"Feb 21, 1989 (32)",€3.00m,Newcastle
261,12,Jamal Lewis,Left-Back,"Jan 25, 1998 (23)",€12.00m,Newcastle
262,3,Paul Dummett,Left-Back,"Sep 26, 1991 (30)",€3.00m,Newcastle
263,11,Matt Ritchie,Left-Back,"Sep 10, 1989 (32)",€3.00m,Newcastle
264,17,Emil Krafth,Right-Back,"Aug 2, 1994 (27)",€3.50m,Newcastle
265,19,Javier Manquillo,Right-Back,"May 5, 1994 (27)",€3.00m,Newcastle
266,14,Isaac Hayden,Defensive Midfield,"Mar 22, 1995 (26)",€10.00m,Newcastle
267,28,Joe Willock,Central Midfield,"Aug 20, 1999 (22)",€22.00m,Newcastle
268,36,Sean Longstaff,Central Midfield,"Oct 30, 1997 (24)",€15.00m,Newcastle
269,8,Jonjo Shelvey,Central Midfield,"Feb 27, 1992 (29)",€13.00m,Newcastle
270,16,Jeff Hendrick,Central Midfield,"Jan 31, 1992 (29)",€9.00m,Newcastle
271,24,Miguel Almirón,Attacking Midfield,"Feb 10, 1994 (27)",€17.50m,Newcastle
272,10,Allan Saint-Maximin,Left Winger,"Mar 12, 1997 (24)",€30.00m,Newcastle
273,21,Ryan Fraser,Left Winger,"Feb 24, 1994 (27)",€10.00m,Newcastle
274,23,Jacob Murphy,Right Winger,"Feb 24, 1995 (26)",€5.00m,Newcastle
275,9,Callum Wilson,Centre-Forward,"Feb 27, 1992 (29)",€22.00m,Newcastle
276,7,Joelinton,Centre-Forward,"Aug 14, 1996 (25)",€17.00m,Newcastle
277,34,Dwight Gayle,Centre-Forward,"Oct 17, 1989 (32)",€4.00m,Newcastle
278,1,Jordan Pickford,Goalkeeper,"Mar 7, 1994 (27)",€25.00m,Everton
279,15,Asmir Begovic,Goalkeeper,"Jun 20, 1987 (34)",€1.20m,Everton
280,31,Andy Lonergan,Goalkeeper,"Oct 19, 1983 (38)",€250Th.,Everton
281,5,Michael Keane,Centre-Back,"Jan 11, 1993 (28)",€25.00m,Everton
282,22,Ben Godfrey,Centre-Back,"Jan 15, 1998 (23)",€25.00m,Everton
283,4,Mason Holgate,Centre-Back,"Oct 22, 1996 (25)",€20.00m,Everton
284,13,Yerry Mina,Centre-Back,"Sep 23, 1994 (27)",€20.00m,Everton
285,32,Jarrad Branthwaite,Centre-Back,"Jun 27, 2002 (19)",€3.00m,Everton
286,12,Lucas Digne,Left-Back,"Jul 20, 1993 (28)",€35.00m,Everton
287,2,Jonjoe Kenny,Right-Back,"Mar 15, 1997 (24)",€5.80m,Everton
288,23,Seamus Coleman,Right-Back,"Oct 11, 1988 (33)",€5.00m,Everton
289,25,Jean-Philippe Gbamin,Defensive Midfield,"Sep 25, 1995 (26)",€15.00m,Everton
290,16,Abdoulaye Doucouré,Central Midfield,"Jan 1, 1993 (28)",€25.00m,Everton
291,6,Allan,Central Midfield,"Jan 8, 1991 (30)",€22.00m,Everton
292,21,André Gomes,Central Midfield,"Jul 30, 1993 (28)",€20.00m,Everton
293,26,Tom Davies,Central Midfield,"Jun 30, 1998 (23)",€18.00m,Everton
294,8,Fabian Delph,Central Midfield,"Nov 21, 1989 (31)",€3.50m,Everton
295,10,Gylfi Sigurdsson,Attacking Midfield,"Sep 8, 1989 (32)",€3.00m,Everton
296,17,Alex Iwobi,Left Winger,"May 3, 1996 (25)",€22.00m,Everton
297,11,Demarai Gray,Left Winger,"Jun 28, 1996 (25)",€15.00m,Everton
298,24,Anthony Gordon,Left Winger,"Feb 24, 2001 (20)",€5.00m,Everton
299,14,Andros Townsend,Right Winger,"Jul 16, 1991 (30)",€7.00m,Everton
300,7,Richarlison,Centre-Forward,"May 10, 1997 (24)",€55.00m,Everton
301,9,Dominic Calvert-Lewin,Centre-Forward,"Mar 16, 1997 (24)",€45.00m,Everton
302,33,Salomón Rondón,Centre-Forward,"Sep 16, 1989 (32)",€5.00m,Everton
303,28,Cenk Tosun,Centre-Forward,"Jun 7, 1991 (30)",€3.00m,Everton
304,26,Dean Henderson,Goalkeeper,"Mar 12, 1997 (24)",€22.00m,Man Utd
305,1,David de Gea,Goalkeeper,"Nov 7, 1990 (30)",€18.00m,Man Utd
306,22,Tom Heaton,Goalkeeper,"Apr 15, 1986 (35)",€1.00m,Man Utd
307,13,Lee Grant,Goalkeeper,"Jan 27, 1983 (38)",€250Th.,Man Utd
308,19,Raphaël Varane,Centre-Back,"Apr 25, 1993 (28)",€70.00m,Man Utd
309,5,Harry Maguire,Centre-Back,"Mar 5, 1993 (28)",€50.00m,Man Utd
310,2,Victor Lindelöf,Centre-Back,"Jul 17, 1994 (27)",€24.00m,Man Utd
311,3,Eric Bailly,Centre-Back,"Apr 12, 1994 (27)",€10.00m,Man Utd
312,4,Phil Jones,Centre-Back,"Feb 21, 1992 (29)",€5.00m,Man Utd
313,23,Luke Shaw,Left-Back,"Jul 12, 1995 (26)",€42.00m,Man Utd
314,27,Alex Telles,Left-Back,"Dec 15, 1992 (28)",€20.00m,Man Utd
315,29,Aaron Wan-Bissaka,Right-Back,"Nov 26, 1997 (23)",€40.00m,Man Utd
316,20,Diogo Dalot,Right-Back,"Mar 18, 1999 (22)",€10.00m,Man Utd
317,39,Scott McTominay,Defensive Midfield,"Dec 8, 1996 (24)",€35.00m,Man Utd
318,31,Nemanja Matic,Defensive Midfield,"Aug 1, 1988 (33)",€8.00m,Man Utd
319,6,Paul Pogba,Central Midfield,"Mar 15, 1993 (28)",€60.00m,Man Utd
320,34,Donny van de Beek,Central Midfield,"Apr 18, 1997 (24)",€25.00m,Man Utd
321,17,Fred,Central Midfield,"Mar 5, 1993 (28)",€22.00m,Man Utd
322,18,Bruno Fernandes,Attacking Midfield,"Sep 8, 1994 (27)",€90.00m,Man Utd
323,14,Jesse Lingard,Attacking Midfield,"Dec 15, 1992 (28)",€22.00m,Man Utd
324,8,Juan Mata,Attacking Midfield,"Apr 28, 1988 (33)",€4.00m,Man Utd
325,25,Jadon Sancho,Left Winger,"Mar 25, 2000 (21)",€90.00m,Man Utd
326,10,Marcus Rashford,Left Winger,"Oct 31, 1997 (24)",€85.00m,Man Utd
327,11,Mason Greenwood,Right Winger,"Oct 1, 2001 (20)",€50.00m,Man Utd
328,16,Amad Diallo,Right Winger,"Jul 11, 2002 (19)",€18.00m,Man Utd
329,44,Tahith Chong,Right Winger,"Dec 4, 1999 (21)",€4.00m,Man Utd
330,7,Cristiano Ronaldo,Centre-Forward,"Feb 5, 1985 (36)",€45.00m,Man Utd
331,9,Anthony Martial,Centre-Forward,"Dec 5, 1995 (25)",€35.00m,Man Utd
332,21,Edinson Cavani,Centre-Forward,"Feb 14, 1987 (34)",€6.00m,Man Utd
333,1,José Sá,Goalkeeper,"Jan 17, 1993 (28)",€7.50m,Wolves
334,21,John Ruddy,Goalkeeper,"Oct 24, 1986 (35)",€800Th.,Wolves
335,16,Conor Coady,Centre-Back,"Feb 25, 1993 (28)",€25.00m,Wolves
336,15,Willy Boly,Centre-Back,"Feb 3, 1991 (30)",€10.00m,Wolves
337,27,Romain Saïss,Centre-Back,"Mar 26, 1990 (31)",€10.00m,Wolves
338,23,Max Kilman,Centre-Back,"May 23, 1997 (24)",€4.50m,Wolves
339,14,Yerson Mosquera,Centre-Back,"May 2, 2001 (20)",€1.70m,Wolves
340,3,Rayan Aït Nouri,Left-Back,"Jun 6, 2001 (20)",€18.00m,Wolves
341,19,Jonny Otto,Left-Back,"Mar 3, 1994 (27)",€15.00m,Wolves
342,5,Marçal,Left-Back,"Feb 19, 1989 (32)",€1.80m,Wolves
343,22,Nélson Semedo,Right-Back,"Nov 16, 1993 (27)",€28.00m,Wolves
344,2,Ki-Jana Hoever,Right-Back,"Jan 18, 2002 (19)",€7.00m,Wolves
345,-,Oskar Buur,Right-Back,"Mar 31, 1998 (23)",€300Th.,Wolves
346,8,Rúben Neves,Defensive Midfield,"Mar 13, 1997 (24)",€42.00m,Wolves
347,32,Leander Dendoncker,Defensive Midfield,"Apr 15, 1995 (26)",€30.00m,Wolves
348,28,João Moutinho,Central Midfield,"Sep 8, 1986 (35)",€4.00m,Wolves
349,6,Bruno Jordão,Central Midfield,"Oct 12, 1998 (23)",€2.50m,Wolves
350,7,Pedro Neto,Left Winger,"Mar 9, 2000 (21)",€35.00m,Wolves
351,37,Adama Traoré,Right Winger,"Jan 25, 1996 (25)",€30.00m,Wolves
352,10,Daniel Podence,Right Winger,"Oct 21, 1995 (26)",€25.00m,Wolves
353,11,Francisco Trincão,Right Winger,"Dec 29, 1999 (21)",€22.00m,Wolves
354,9,Raúl Jiménez,Centre-Forward,"May 5, 1991 (30)",€28.00m,Wolves
355,17,Fábio Silva,Centre-Forward,"Jul 19, 2002 (19)",€25.00m,Wolves
356,26,Hee-chan Hwang,Centre-Forward,"Jan 26, 1996 (25)",€11.00m,Wolves
357,32,Aaron Ramsdale,Goalkeeper,"May 14, 1998 (23)",€20.00m,Arsenal
358,1,Bernd Leno,Goalkeeper,"Mar 4, 1992 (29)",€18.00m,Arsenal
359,4,Ben White,Centre-Back,"Oct 8, 1997 (24)",€40.00m,Arsenal
360,6,Gabriel,Centre-Back,"Dec 19, 1997 (23)",€25.00m,Arsenal
361,16,Rob Holding,Centre-Back,"Sep 20, 1995 (26)",€18.00m,Arsenal
362,22,Pablo Marí,Centre-Back,"Aug 31, 1993 (28)",€5.00m,Arsenal
363,3,Kieran Tierney,Left-Back,"Jun 5, 1997 (24)",€32.00m,Arsenal
364,20,Nuno Tavares,Left-Back,"Jan 26, 2000 (21)",€7.00m,Arsenal
365,31,Sead Kolasinac,Left-Back,"Jun 20, 1993 (28)",€3.50m,Arsenal
366,18,Takehiro Tomiyasu,Right-Back,"Nov 5, 1998 (23)",€20.00m,Arsenal
367,21,Calum Chambers,Right-Back,"Jan 20, 1995 (26)",€12.00m,Arsenal
368,17,Cédric Soares,Right-Back,"Aug 31, 1991 (30)",€6.00m,Arsenal
369,5,Thomas Partey,Defensive Midfield,"Jun 13, 1993 (28)",€40.00m,Arsenal
370,34,Granit Xhaka,Defensive Midfield,"Sep 27, 1992 (29)",€22.00m,Arsenal
371,25,Mohamed Elneny,Defensive Midfield,"Jul 11, 1992 (29)",€10.00m,Arsenal
372,23,Albert Sambi Lokonga,Central Midfield,"Oct 22, 1999 (22)",€16.00m,Arsenal
373,15,Ainsley Maitland-Niles,Right Midfield,"Aug 29, 1997 (24)",€16.00m,Arsenal
374,7,Bukayo Saka,Left Midfield,"Sep 5, 2001 (20)",€65.00m,Arsenal
375,8,Martin Ødegaard,Attacking Midfield,"Dec 17, 1998 (22)",€40.00m,Arsenal
376,10,Emile Smith Rowe,Attacking Midfield,"Jul 28, 2000 (21)",€28.00m,Arsenal
377,35,Gabriel Martinelli,Left Winger,"Jun 18, 2001 (20)",€22.00m,Arsenal
378,19,Nicolas Pépé,Right Winger,"May 29, 1995 (26)",€35.00m,Arsenal
379,14,Pierre-Emerick Aubameyang,Centre-Forward,"Jun 18, 1989 (32)",€25.00m,Arsenal
380,9,Alexandre Lacazette,Centre-Forward,"May 28, 1991 (30)",€22.00m,Arsenal
381,30,Eddie Nketiah,Centre-Forward,"May 30, 1999 (22)",€12.00m,Arsenal
382,26,Folarin Balogun,Centre-Forward,"Jul 3, 2001 (20)",€4.00m,Arsenal
383,1,Alisson,Goalkeeper,"Oct 2, 1992 (29)",€60.00m,Liverpool
384,62,Caoimhin Kelleher,Goalkeeper,"Nov 23, 1998 (22)",€2.50m,Liverpool
385,22,Loris Karius,Goalkeeper,"Jun 22, 1993 (28)",€2.00m,Liverpool
386,13,Adrián,Goalkeeper,"Jan 3, 1987 (34)",€1.00m,Liverpool
387,4,Virgil van Dijk,Centre-Back,"Jul 8, 1991 (30)",€55.00m,Liverpool
388,5,Ibrahima Konaté,Centre-Back,"May 25, 1999 (22)",€35.00m,Liverpool
389,12,Joe Gomez,Centre-Back,"May 23, 1997 (24)",€30.00m,Liverpool
390,32,Joel Matip,Centre-Back,"Aug 8, 1991 (30)",€18.00m,Liverpool
391,47,Nathaniel Phillips,Centre-Back,"Mar 21, 1997 (24)",€8.00m,Liverpool
392,26,Andrew Robertson,Left-Back,"Mar 11, 1994 (27)",€65.00m,Liverpool
393,21,Konstantinos Tsimikas,Left-Back,"May 12, 1996 (25)",€10.00m,Liverpool
394,66,Trent Alexander-Arnold,Right-Back,"Oct 7, 1998 (23)",€75.00m,Liverpool
395,76,Neco Williams,Right-Back,"Apr 13, 2001 (20)",€8.00m,Liverpool
396,3,Fabinho,Defensive Midfield,"Oct 23, 1993 (28)",€60.00m,Liverpool
397,8,Naby Keïta,Central Midfield,"Feb 10, 1995 (26)",€32.00m,Liverpool
398,17,Curtis Jones,Central Midfield,"Jan 30, 2001 (20)",€30.00m,Liverpool
399,6,Thiago,Central Midfield,"Apr 11, 1991 (30)",€25.00m,Liverpool
400,14,Jordan Henderson,Central Midfield,"Jun 17, 1990 (31)",€20.00m,Liverpool
401,15,Alex Oxlade-Chamberlain,Central Midfield,"Aug 15, 1993 (28)",€18.00m,Liverpool
402,7,James Milner,Central Midfield,"Jan 4, 1986 (35)",€3.00m,Liverpool
403,10,Sadio Mané,Left Winger,"Apr 10, 1992 (29)",€85.00m,Liverpool
404,20,Diogo Jota,Left Winger,"Dec 4, 1996 (24)",€45.00m,Liverpool
405,18,Takumi Minamino,Left Winger,"Jan 16, 1995 (26)",€12.00m,Liverpool
406,11,Mohamed Salah,Right Winger,"Jun 15, 1992 (29)",€100.00m,Liverpool
407,67,Harvey Elliott,Right Winger,"Apr 4, 2003 (18)",€15.00m,Liverpool
408,9,Roberto Firmino,Centre-Forward,"Oct 2, 1991 (30)",€40.00m,Liverpool
409,27,Divock Origi,Centre-Forward,"Apr 18, 1995 (26)",€12.00m,Liverpool
410,13,Alphonse Areola,Goalkeeper,"Feb 27, 1993 (28)",€14.00m,West Ham
411,1,Lukasz Fabianski,Goalkeeper,"Apr 18, 1985 (36)",€1.50m,West Ham
412,35,Darren Randolph,Goalkeeper,"May 12, 1987 (34)",€1.50m,West Ham
413,25,David Martin,Goalkeeper,"Jan 22, 1986 (35)",€250Th.,West Ham
414,4,Kurt Zouma,Centre-Back,"Oct 27, 1994 (27)",€32.00m,West Ham
415,23,Issa Diop,Centre-Back,"Jan 9, 1997 (24)",€15.00m,West Ham
416,15,Craig Dawson,Centre-Back,"May 6, 1990 (31)",€3.00m,West Ham
417,21,Angelo Ogbonna,Centre-Back,"May 23, 1988 (33)",€2.50m,West Ham
418,26,Arthur Masuaku,Left-Back,"Nov 7, 1993 (27)",€7.00m,West Ham
419,3,Aaron Cresswell,Left-Back,"Dec 15, 1989 (31)",€5.00m,West Ham
420,5,Vladimir Coufal,Right-Back,"Aug 22, 1992 (29)",€12.00m,West Ham
421,31,Ben Johnson,Right-Back,"Jan 24, 2000 (21)",€3.00m,West Ham
422,24,Ryan Fredericks,Right-Back,"Oct 10, 1992 (29)",€2.50m,West Ham
423,41,Declan Rice,Defensive Midfield,"Jan 14, 1999 (22)",€70.00m,West Ham
424,28,Tomas Soucek,Defensive Midfield,"Feb 27, 1995 (26)",€42.00m,West Ham
425,33,Alex Kral,Defensive Midfield,"May 19, 1998 (23)",€10.00m,West Ham
426,16,Mark Noble,Central Midfield,"May 8, 1987 (34)",€2.00m,West Ham
427,11,Nikola Vlasic,Attacking Midfield,"Oct 4, 1997 (24)",€30.00m,West Ham
428,8,Pablo Fornals,Attacking Midfield,"Feb 22, 1996 (25)",€20.00m,West Ham
429,10,Manuel Lanzini,Attacking Midfield,"Feb 15, 1993 (28)",€10.00m,West Ham
430,22,Saïd Benrahma,Left Winger,"Aug 10, 1995 (26)",€25.00m,West Ham
431,20,Jarrod Bowen,Right Winger,"Dec 20, 1996 (24)",€30.00m,West Ham
432,7,Andriy Yarmolenko,Right Winger,"Oct 23, 1989 (32)",€4.00m,West Ham
433,9,Michail Antonio,Centre-Forward,"Mar 28, 1990 (31)",€12.00m,West Ham
434,1,Kasper Schmeichel,Goalkeeper,"Nov 5, 1986 (35)",€6.00m,Leicester
435,12,Danny Ward,Goalkeeper,"Jun 22, 1993 (28)",€6.00m,Leicester
436,35,Eldin Jakupovic,Goalkeeper,"Oct 2, 1984 (37)",€300Th.,Leicester
437,4,Caglar Söyüncü,Centre-Back,"May 23, 1996 (25)",€45.00m,Leicester
438,3,Wesley Fofana,Centre-Back,"Dec 17, 2000 (20)",€40.00m,Leicester
439,23,Jannik Vestergaard,Centre-Back,"Aug 3, 1992 (29)",€18.00m,Leicester
440,6,Jonny Evans,Centre-Back,"Jan 3, 1988 (33)",€7.00m,Leicester
441,18,Daniel Amartey,Centre-Back,"Dec 21, 1994 (26)",€5.00m,Leicester
442,16,Filip Benkovic,Centre-Back,"Jul 13, 1997 (24)",€2.80m,Leicester
443,5,Ryan Bertrand,Left-Back,"Aug 5, 1989 (32)",€8.00m,Leicester
444,33,Luke Thomas,Left-Back,"Jun 10, 2001 (20)",€8.00m,Leicester
445,21,Ricardo Pereira,Right-Back,"Oct 6, 1993 (28)",€30.00m,Leicester
446,27,Timothy Castagne,Right-Back,"Dec 5, 1995 (25)",€28.00m,Leicester
447,2,James Justin,Right-Back,"Feb 23, 1998 (23)",€17.00m,Leicester
448,25,Wilfred Ndidi,Defensive Midfield,"Dec 16, 1996 (24)",€60.00m,Leicester
449,42,Boubakary Soumaré,Defensive Midfield,"Feb 27, 1999 (22)",€28.00m,Leicester
450,24,Nampalys Mendy,Defensive Midfield,"Jun 23, 1992 (29)",€8.00m,Leicester
451,22,Kiernan Dewsbury-Hall,Defensive Midfield,"Sep 6, 1998 (23)",€2.00m,Leicester
452,8,Youri Tielemans,Central Midfield,"May 7, 1997 (24)",€55.00m,Leicester
453,20,Hamza Choudhury,Central Midfield,"Oct 1, 1997 (24)",€7.00m,Leicester
454,11,Marc Albrighton,Right Midfield,"Nov 18, 1989 (31)",€4.00m,Leicester
455,7,Harvey Barnes,Left Midfield,"Dec 9, 1997 (23)",€35.00m,Leicester
456,10,James Maddison,Attacking Midfield,"Nov 23, 1996 (24)",€50.00m,Leicester
457,37,Ademola Lookman,Left Winger,"Oct 20, 1997 (24)",€11.00m,Leicester
458,17,Ayoze Pérez,Second Striker,"Jul 29, 1993 (28)",€18.00m,Leicester
459,29,Patson Daka,Centre-Forward,"Oct 9, 1998 (23)",€22.00m,Leicester
460,14,Kelechi Iheanacho,Centre-Forward,"Oct 3, 1996 (25)",€20.00m,Leicester
461,9,Jamie Vardy,Centre-Forward,"Jan 11, 1987 (34)",€7.00m,Leicester
462,1,Illan Meslier,Goalkeeper,"Mar 2, 2000 (21)",€20.00m,Leeds
463,13,Kristoffer Klaesson,Goalkeeper,"Nov 27, 2000 (20)",€2.00m,Leeds
464,14,Diego Llorente,Centre-Back,"Aug 16, 1993 (28)",€20.00m,Leeds
465,5,Robin Koch,Centre-Back,"Jul 17, 1996 (25)",€17.00m,Leeds
466,21,Pascal Struijk,Centre-Back,"Aug 11, 1999 (22)",€9.00m,Leeds
467,6,Liam Cooper,Centre-Back,"Aug 30, 1991 (30)",€7.00m,Leeds
468,35,Charlie Cresswell,Centre-Back,"Aug 17, 2002 (19)",€200Th.,Leeds
469,3,Junior Firpo,Left-Back,"Aug 22, 1996 (25)",€12.00m,Leeds
470,45,Liam McCarron,Left-Back,"Mar 7, 2001 (20)",,Leeds
471,2,Luke Ayling,Right-Back,"Aug 25, 1991 (30)",€5.00m,Leeds
472,15,Stuart Dallas,Right-Back,"Apr 19, 1991 (30)",€4.00m,Leeds
473,23,Kalvin Phillips,Defensive Midfield,"Dec 2, 1995 (25)",€40.00m,Leeds
474,43,Mateusz Klich,Central Midfield,"Jun 13, 1990 (31)",€4.00m,Leeds
475,46,Jamie Shackleton,Central Midfield,"Oct 8, 1999 (22)",€2.50m,Leeds
476,4,Adam Forshaw,Central Midfield,"Oct 8, 1991 (30)",€2.00m,Leeds
477,20,Daniel James,Left Winger,"Nov 10, 1997 (23)",€18.00m,Leeds
478,22,Jack Harrison,Left Winger,"Nov 20, 1996 (24)",€15.00m,Leeds
479,10,Raphinha,Right Winger,"Dec 14, 1996 (24)",€32.00m,Leeds
480,38,Crysencio Summerville,Right Winger,"Oct 30, 2001 (20)",€1.50m,Leeds
481,19,Rodrigo,Second Striker,"Mar 6, 1991 (30)",€18.00m,Leeds
482,11,Tyler Roberts,Second Striker,"Jan 12, 1999 (22)",€6.00m,Leeds
483,9,Patrick Bamford,Centre-Forward,"Sep 5, 1993 (28)",€22.00m,Leeds
484,30,Joe Gelhardt,Centre-Forward,"May 4, 2002 (19)",€1.30m,Leeds
485,42,Sam Greenwood,Centre-Forward,"Jan 26, 2002 (19)",€200Th.,Leeds
486,1,Alex McCarthy,Goalkeeper,"Dec 3, 1989 (31)",€5.00m,Southampton
487,44,Fraser Forster,Goalkeeper,"Mar 17, 1988 (33)",€3.00m,Southampton
488,41,Harry Lewis,Goalkeeper,"Dec 20, 1997 (23)",€200Th.,Southampton
489,35,Jan Bednarek,Centre-Back,"Apr 12, 1996 (25)",€25.00m,Southampton
490,22,Mohammed Salisu,Centre-Back,"Apr 17, 1999 (22)",€10.00m,Southampton
491,5,Jack Stephens,Centre-Back,"Jan 27, 1994 (27)",€8.00m,Southampton
492,4,Lyanco,Centre-Back,"Feb 1, 1997 (24)",€5.00m,Southampton
493,15,Romain Perraud,Left-Back,"Sep 22, 1997 (24)",€10.00m,Southampton
494,45,Sam McQueen,Left-Back,"Feb 6, 1995 (26)",€800Th.,Southampton
495,2,Kyle Walker-Peters,Right-Back,"Apr 13, 1997 (24)",€18.00m,Southampton
496,21,Valentino Livramento,Right-Back,"Nov 12, 2002 (18)",€12.00m,Southampton
497,43,Yan Valery,Right-Back,"Feb 22, 1999 (22)",€3.00m,Southampton
498,27,Ibrahima Diallo,Defensive Midfield,"Mar 8, 1999 (22)",€15.00m,Southampton
499,6,Oriol Romeu,Defensive Midfield,"Sep 24, 1991 (30)",€6.00m,Southampton
500,8,James Ward-Prowse,Central Midfield,"Nov 1, 1994 (27)",€32.00m,Southampton
501,17,Stuart Armstrong,Central Midfield,"Mar 30, 1992 (29)",€8.00m,Southampton
502,20,Will Smallbone,Central Midfield,"Feb 21, 2000 (21)",€2.00m,Southampton
503,11,Nathan Redmond,Left Winger,"Mar 6, 1994 (27)",€18.00m,Southampton
504,19,Moussa Djenepo,Left Winger,"Jun 15, 1998 (23)",€13.00m,Southampton
505,24,Mohamed Elyounoussi,Left Winger,"Aug 4, 1994 (27)",€12.00m,Southampton
506,32,Theo Walcott,Right Winger,"Mar 16, 1989 (32)",€5.00m,Southampton
507,23,Nathan Tella,Right Winger,"Jul 5, 1999 (22)",€2.00m,Southampton
508,10,Ché Adams,Centre-Forward,"Jul 13, 1996 (25)",€20.00m,Southampton
509,9,Adam Armstrong,Centre-Forward,"Feb 10, 1997 (24)",€18.00m,Southampton
510,18,Armando Broja,Centre-Forward,"Sep 10, 2001 (20)",€3.00m,Southampton
511,7,Shane Long,Centre-Forward,"Jan 22, 1987 (34)",€1.20m,Southampton
